"workerid","response_story","pass_numeric","actual_story","response_data","pass_story"
145,"plant grow tall",0,"plant grow tall","0",1
146,"animal make sleepy",1,"animal make sleepy","98",1
147,"animal make sleepy",1,"animal make sleepy","21",1
148,"animal make sleepy",1,"animal make sleepy",NA,1
149,"animal make sleepy",1,"animal make sleepy","99",1
150,"plant grow tall",1,"plant grow tall","19",1
151,"plant grow tall",1,"plant grow tall","20",1
152,"animal make sleepy",1,"animal make sleepy","100",1
153,"animal make sleepy",1,"animal make sleepy","21",1
154,"animal make sleepy",1,"animal make sleepy","1",1
155,"animal make sleepy",0,"animal make sleepy","0",1
156,"animal make sleepy",1,"animal make sleepy","20",1
157,"plant grow tall",1,"plant grow tall","23",1
158,"animal make sleepy",0,"animal make sleepy","0/100",1
159,"animal make sleepy",1,"animal make sleepy","19",1
