"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","extraStatement","characterName","habitual","n_instances","time_period","rt","response","condition"
0,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Linda developed a peanut allergy.","Linda","eats peanut butter",3,"year",2063,"agree-key","preventative"
0,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Ted researched a new soup kitchen in the area and is going to volunteer with them.","Ted","volunteers for soup kitchens",3,"5 years",3510,"agree-key","enabling"
0,"hobby","truthJudge","ran","female",NA,"","Elisa","runs",3,"2 months",2429,"agree-key","baseline"
1,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Crystal quit smoking cigarettes.","Crystal","smokes cigarettes",3,"month",4552,"disagree-key","preventative"
1,"hobby","truthJudge","played tennis","male",NA,"","Alexander","plays tennis",3,"year",2256,"disagree-key","baseline"
1,"employment","truthJudge","stole chewing gum","male",NA,"","Brian","steals chewing gum",3,"5 years",2337,"agree-key","baseline"
1,"entertainment","truthJudge","watched space launches","male",NA,"Yesterday, Daniel remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Daniel","watches space launches",3,"2 years",4785,"agree-key","enabling"
1,"food","truthJudge","drank beer","male",NA,"","Robert","drinks beer",3,"month",1753,"agree-key","baseline"
1,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Michelle","volunteers for political campaigns",3,"5 years",1392,"agree-key","baseline"
1,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Nicole remembered how much fun that was bought a lot of new mountain climbing gear.","Nicole","climbs mountains",3,"5 years",1024,"agree-key","enabling"
1,"food","truthJudge","did cocaine","female",NA,"Yesterday, Linda wanted to get high and bought some cocaine.","Linda","does cocaine",3,"year",3378,"agree-key","enabling"
1,"employment","truthJudge","stole a car","female",NA,"","Julia","steals cars",3,"5 years",409,"agree-key","baseline"
1,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Vince finished an MFA program and quit his other job to focus on writing novels.","Vince","writes novels",3,"5 years",1105,"agree-key","enabling"
1,"food","truthJudge","drank coffee","female",NA,"Yesterday, Maya wanted a morning jolt and bought a pound of fresh roasted coffee.","Maya","drinks coffee",3,"month",763,"agree-key","enabling"
1,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Jack wanted to get high and bought some marijuana.","Jack","smokes marijuana",3,"year",748,"disagree-key","enabling"
1,"hobby","truthJudge","ran","male",NA,"Yesterday, William remembered how much fun those times were and bought a new pair of running shoes.","William","runs",3,"2 months",477,"agree-key","enabling"
1,"clothing","truthJudge","wore a suit","male",NA,"","Christopher","wears a suit",3,"month",353,"agree-key","baseline"
1,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Jacob grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Jacob","volunteers for soup kitchens",3,"5 years",276,"disagree-key","preventative"
1,"hobby","truthJudge","hiked","male",NA,"Yesterday, Lucas was in a motorcycle accident and will never walk again.","Lucas","hikes",3,"year",343,"agree-key","preventative"
1,"food","truthJudge","ate peanut butter","male",NA,"Yesterday, Scott developed a peanut allergy.","Scott","eats peanut butter",3,"year",298,"agree-key","preventative"
1,"food","truthJudge","ate caviar","female",NA,"Yesterday, Esther developed a seafood allergy.","Esther","eats caviar",3,"5 years",276,"agree-key","preventative"
1,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Ashley became fed up with the poetry world and decided to never write poems again.","Ashley","writes poems",3,"year",277,"disagree-key","preventative"
1,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Sophia developed crippling arthritis in her hands and no longer can play musical instruments.","Sophia","plays the banjo",3,"year",246,"agree-key","preventative"
1,"entertainment","truthJudge","watched professional football","female",NA,"","Bridgette","watches professional football",3,"year",249,"agree-key","baseline"
2,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Rebecca wanted a smoke and bought a pack of cigarettes.","Rebecca","smokes cigarettes",3,"month",7108,"agree-key","enabling"
2,"hobby","truthJudge","played tennis","male",NA,"Yesterday, John remembered how much fun that was and bought a new tennis racket.","John","plays tennis",3,"year",4031,"agree-key","enabling"
2,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Stephanie became fed up with the poetry world and decided to never write poems again.","Stephanie","writes poems",3,"year",4589,"disagree-key","preventative"
2,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Crystal finished an MFA program and quit her other job to focus on writing novels.","Crystal","writes novels",3,"5 years",6781,"agree-key","enabling"
2,"food","truthJudge","drank coffee","male",NA,"","Derrick","drinks coffee",3,"month",2495,"agree-key","baseline"
2,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Tom grew disillusioned with the political system and wants nothing to do with it anymore.","Tom","volunteers for political campaigns",3,"5 years",4921,"disagree-key","preventative"
2,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Stephen developed crippling arthritis in his hands and no longer can play musical instruments.","Stephen","plays the banjo",3,"year",6123,"disagree-key","preventative"
2,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Kathleen remembered how much fun that was bought a lot of new mountain climbing gear.","Kathleen","climbs mountains",3,"5 years",4884,"agree-key","enabling"
2,"food","truthJudge","ate caviar","male",NA,"","Lewis","eats caviar",3,"5 years",2759,"agree-key","baseline"
2,"hobby","truthJudge","ran","male",NA,"Yesterday, Tim was in a car accident and became permanently paralyzed from the waist down.","Tim","runs",3,"2 months",4166,"disagree-key","preventative"
2,"food","truthJudge","ate peanut butter","female",NA,"","Brooke","eats peanut butter",3,"year",2478,"agree-key","baseline"
2,"employment","truthJudge","stole a car","female",NA,"Yesterday, Shannon learned a new technique for breaking into cars.","Shannon","steals cars",3,"5 years",5853,"agree-key","enabling"
2,"food","truthJudge","smoked marijuana","male",NA,"","Doug","smokes marijuana",3,"year",3569,"agree-key","baseline"
2,"food","truthJudge","did cocaine","male",NA,"Yesterday, Martin wanted to get high and bought some cocaine.","Martin","does cocaine",3,"year",4454,"agree-key","enabling"
2,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Ronald learned about all the corruption in professional sports and no longer can watch it.","Ronald","watches professional football",3,"year",5893,"disagree-key","preventative"
2,"hobby","truthJudge","hiked","male",NA,"","Michael","hikes",3,"year",3213,"agree-key","baseline"
2,"clothing","truthJudge","wore a suit","female",NA,"","Michelle","wears a suit",3,"month",6102,"disagree-key","baseline"
2,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Jackie learned a new trick to distract shopkeepers.","Jackie","steals chewing gum",3,"5 years",7062,"agree-key","enabling"
2,"entertainment","truthJudge","watched space launches","male",NA,"Yesterday, Kyle went through a radical transformation and now it is against his belief to witness anything relating to space travel.","Kyle","watches space launches",3,"2 years",7670,"disagree-key","preventative"
2,"food","truthJudge","drank beer","male",NA,"Yesterday, Seth gave up alcohol and entered into Alcoholics Anonymous.","Seth","drinks beer",3,"month",4430,"disagree-key","preventative"
2,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"","Brian","volunteers for soup kitchens",3,"5 years",5445,"agree-key","baseline"
3,"employment","truthJudge","stole a car","male",NA,"Yesterday, Lucas learned a new technique for breaking into cars.","Lucas","steals cars",3,"5 years",10968,"agree-key","enabling"
3,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Eric finished an MFA program and quit his other job to focus on writing novels.","Eric","writes novels",3,"5 years",6347,"agree-key","enabling"
3,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Greg got fired from his job on Wall Street and now works in a pizza parlor.","Greg","wears a suit",3,"month",9488,"disagree-key","preventative"
3,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Michael developed crippling arthritis in both elbows and can only move his arms extremely slowly.","Michael","plays tennis",3,"year",4531,"disagree-key","preventative"
3,"food","truthJudge","drank coffee","female",NA,"Yesterday, Brooke developed a caffeine allergy and decided to give up all caffeine.","Brooke","drinks coffee",3,"month",3128,"disagree-key","preventative"
3,"food","truthJudge","ate caviar","female",NA,"","Nicole","eats caviar",3,"5 years",7873,"agree-key","baseline"
3,"food","truthJudge","did cocaine","male",NA,"","Stephen","does cocaine",3,"year",6106,"agree-key","baseline"
3,"hobby","truthJudge","ran","female",NA,"Yesterday, Claire remembered how much fun those times were and bought a new pair of running shoes.","Claire","runs",3,"2 months",7894,"agree-key","enabling"
3,"food","truthJudge","drank beer","male",NA,"Yesterday, Daniel gave up alcohol and entered into Alcoholics Anonymous.","Daniel","drinks beer",3,"month",6965,"disagree-key","preventative"
3,"food","truthJudge","ate peanut butter","male",NA,"","Ben","eats peanut butter",3,"year",2980,"agree-key","baseline"
3,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Alicia quit smoking cigarettes.","Alicia","smokes cigarettes",3,"month",8046,"disagree-key","preventative"
3,"employment","truthJudge","wrote a poem","male",NA,"Yesterday, Vince finished an MFA program and quit his other job to focus on writing poems.","Vince","writes poems",3,"year",5580,"agree-key","enabling"
3,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Kristina remembered how much fun that was bought a lot of new mountain climbing gear.","Kristina","climbs mountains",3,"5 years",3565,"agree-key","enabling"
3,"employment","truthJudge","stole chewing gum","male",NA,"","Cameron","steals chewing gum",3,"5 years",2793,"agree-key","baseline"
3,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Tim remembered how much fun that was and joined his friend&quotechars band as the banjoist.","Tim","plays the banjo",3,"year",5597,"agree-key","enabling"
3,"hobby","truthJudge","hiked","male",NA,"","Seth","hikes",3,"year",1662,"agree-key","baseline"
3,"food","truthJudge","smoked marijuana","female",NA,"","Theresa","smokes marijuana",3,"year",1171,"agree-key","baseline"
3,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, George learned about all the corruption in professional sports and no longer can watch it.","George","watches professional football",3,"year",4549,"disagree-key","preventative"
3,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Tina researched a new political candidate in the area and is going to volunteer with them.","Tina","volunteers for political campaigns",3,"5 years",4069,"agree-key","enabling"
3,"entertainment","truthJudge","watched space launches","female",NA,"","Maya","watches space launches",3,"2 years",1862,"agree-key","baseline"
3,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Jacob grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Jacob","volunteers for soup kitchens",3,"5 years",6349,"disagree-key","preventative"
4,"food","truthJudge","smoked cigarettes","female",NA,"","Angela","smokes cigarettes",3,"month",50867,"agree-key","baseline"
4,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Kristina researched a new political candidate in the area and is going to volunteer with them.","Kristina","volunteers for political campaigns",3,"5 years",48289,"agree-key","enabling"
4,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Kathleen learned a new trick to distract shopkeepers.","Kathleen","steals chewing gum",3,"5 years",3769,"agree-key","enabling"
4,"entertainment","truthJudge","watched professional football","female",NA,"","Julia","watches professional football",3,"year",5025,"agree-key","baseline"
4,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Stephen grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Stephen","volunteers for soup kitchens",3,"5 years",2888,"agree-key","preventative"
4,"food","truthJudge","ate caviar","male",NA,"Yesterday, Lewis developed a seafood allergy.","Lewis","eats caviar",3,"5 years",8307,"disagree-key","preventative"
4,"hobby","truthJudge","ran","female",NA,"Yesterday, Jackie was in a car accident and became permanently paralyzed from the waist down.","Jackie","runs",3,"2 months",5922,"disagree-key","preventative"
4,"hobby","truthJudge","hiked","male",NA,"Yesterday, Jacob remembered how much fun those times were and bought a lot of new hiking gear.","Jacob","hikes",3,"year",5011,"agree-key","enabling"
4,"hobby","truthJudge","climbed mountains","female",NA,"","Natalie","climbs mountains",3,"5 years",4275,"agree-key","baseline"
4,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Jessica got a high paying job on Wall Street.","Jessica","wears a suit",3,"month",5048,"agree-key","enabling"
4,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Tom became fed up with the literary world and decided to never write anything again.","Tom","writes novels",3,"5 years",4984,"disagree-key","preventative"
4,"food","truthJudge","smoked marijuana","female",NA,"","Tina","smokes marijuana",3,"year",1916,"agree-key","baseline"
4,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Esther went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Esther","watches space launches",3,"2 years",8990,"disagree-key","preventative"
4,"food","truthJudge","drank beer","male",NA,"","Fred","drinks beer",3,"month",1938,"agree-key","baseline"
4,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Robert remembered how much fun that was and bought a new tennis racket.","Robert","plays tennis",3,"year",3032,"agree-key","enabling"
4,"employment","truthJudge","stole a car","female",NA,"Yesterday, Kelly got caught and went through a radical transformation, vowing to never break the law again.","Kelly","steals cars",3,"5 years",4488,"disagree-key","preventative"
4,"hobby","truthJudge","played the banjo","female",NA,"","Elizabeth","plays the banjo",3,"year",1969,"agree-key","baseline"
4,"employment","truthJudge","wrote a poem","male",NA,"Yesterday, David finished an MFA program and quit his other job to focus on writing poems.","David","writes poems",3,"year",8286,"agree-key","enabling"
4,"food","truthJudge","did cocaine","female",NA,"Yesterday, Maya realized she is severely allergic to cocaine and will no longer do it.","Maya","does cocaine",3,"year",3627,"disagree-key","preventative"
4,"food","truthJudge","ate peanut butter","male",NA,"Yesterday, Alexander learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","Alexander","eats peanut butter",3,"year",5185,"agree-key","enabling"
4,"food","truthJudge","drank coffee","female",NA,"","Hillary","drinks coffee",3,"month",2057,"agree-key","baseline"
5,"entertainment","truthJudge","watched professional football","male",NA,"","Alexander","watches professional football",3,"year",7386,"disagree-key","baseline"
5,"hobby","truthJudge","hiked","female",NA,"Yesterday, Michelle remembered how much fun those times were and bought a lot of new hiking gear.","Michelle","hikes",3,"year",8407,"agree-key","enabling"
5,"hobby","truthJudge","played tennis","male",NA,"","Fred","plays tennis",3,"year",3301,"disagree-key","baseline"
5,"employment","truthJudge","stole a car","male",NA,"Yesterday, Josh got caught and went through a radical transformation, vowing to never break the law again.","Josh","steals cars",3,"5 years",7920,"agree-key","preventative"
5,"food","truthJudge","did cocaine","female",NA,"","Jackie","does cocaine",3,"year",3587,"agree-key","baseline"
5,"food","truthJudge","smoked cigarettes","male",NA,"","Ronald","smokes cigarettes",3,"month",3301,"agree-key","baseline"
5,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, David became fed up with the literary world and decided to never write anything again.","David","writes novels",3,"5 years",4391,"agree-key","preventative"
5,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Kathleen turned 80 and gave up all strenuous physical exercise because her doctor said it would be deadly.","Kathleen","climbs mountains",3,"5 years",8100,"disagree-key","preventative"
5,"employment","truthJudge","wrote a poem","male",NA,"Yesterday, Brian finished an MFA program and quit his other job to focus on writing poems.","Brian","writes poems",3,"year",6432,"agree-key","enabling"
5,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Lewis got caught and vowed to never break the law again.","Lewis","steals chewing gum",3,"5 years",4039,"disagree-key","preventative"
5,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Jack realized he is severely allergic to marijuana and will no longer smoke it.","Jack","smokes marijuana",3,"year",5757,"disagree-key","preventative"
5,"food","truthJudge","ate caviar","female",NA,"Yesterday, Stephanie developed a seafood allergy.","Stephanie","eats caviar",3,"5 years",5265,"disagree-key","preventative"
5,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Natalie researched a new soup kitchen in the area and is going to volunteer with them.","Natalie","volunteers for soup kitchens",3,"5 years",4653,"disagree-key","enabling"
5,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Jessica went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Jessica","watches space launches",3,"2 years",4285,"agree-key","preventative"
5,"food","truthJudge","drank coffee","male",NA,"Yesterday, Christopher wanted a morning jolt and bought a pound of fresh roasted coffee.","Christopher","drinks coffee",3,"month",4073,"agree-key","enabling"
5,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Derrick remembered how much fun that was and joined his friend&quotechars band as the banjoist.","Derrick","plays the banjo",3,"year",4394,"agree-key","enabling"
5,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Linda researched a new political candidate in the area and is going to volunteer with them.","Linda","volunteers for political campaigns",3,"5 years",10299,"agree-key","enabling"
5,"food","truthJudge","drank beer","male",NA,"Yesterday, Daniel wanted to get tipsy and bought a six-pack of beer.","Daniel","drinks beer",3,"month",3633,"agree-key","enabling"
5,"food","truthJudge","ate peanut butter","female",NA,"","Ashley","eats peanut butter",3,"year",4747,"agree-key","baseline"
5,"hobby","truthJudge","ran","male",NA,"","Michael","runs",3,"2 months",3178,"agree-key","baseline"
5,"clothing","truthJudge","wore a suit","female",NA,"","Elizabeth","wears a suit",3,"month",2857,"agree-key","baseline"
6,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Ashley finished an MFA program and quit her other job to focus on writing novels.","Ashley","writes novels",3,"5 years",6398,"agree-key","enabling"
6,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"","Michael","volunteers for soup kitchens",3,"5 years",4268,"disagree-key","baseline"
6,"hobby","truthJudge","hiked","male",NA,"Yesterday, Stephen was in a motorcycle accident and will never walk again.","Stephen","hikes",3,"year",5362,"disagree-key","preventative"
6,"food","truthJudge","drank coffee","female",NA,"","Janet","drinks coffee",3,"month",2575,"agree-key","baseline"
6,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, David remembered how much fun that was and joined his friend&quotechars band as the banjoist.","David","plays the banjo",3,"year",4830,"agree-key","enabling"
6,"food","truthJudge","smoked cigarettes","female",NA,"","Natalie","smokes cigarettes",3,"month",7910,"disagree-key","baseline"
6,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Claire remembered how much enjoyable that was and upgraded her cable to have access to all professional football games.","Claire","watches professional football",3,"year",5028,"agree-key","enabling"
6,"entertainment","truthJudge","watched space launches","male",NA,"Yesterday, William remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","William","watches space launches",3,"2 years",4286,"agree-key","enabling"
6,"food","truthJudge","did cocaine","male",NA,"Yesterday, Gabriel realized he is severely allergic to cocaine and will no longer do it.","Gabriel","does cocaine",3,"year",4754,"disagree-key","preventative"
6,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Jessica developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Jessica","plays tennis",3,"year",2583,"disagree-key","preventative"
6,"hobby","truthJudge","ran","female",NA,"Yesterday, Nicole was in a car accident and became permanently paralyzed from the waist down.","Nicole","runs",3,"2 months",2886,"disagree-key","preventative"
6,"food","truthJudge","ate caviar","female",NA,"Yesterday, Brooke learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Brooke","eats caviar",3,"5 years",6773,"agree-key","enabling"
6,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, Vince remembered how much fun that was bought a lot of new mountain climbing gear.","Vince","climbs mountains",3,"5 years",4463,"agree-key","enabling"
6,"clothing","truthJudge","wore a suit","male",NA,"","Ronald","wears a suit",3,"month",2093,"agree-key","baseline"
6,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Fred grew disillusioned with the political system and wants nothing to do with it anymore.","Fred","volunteers for political campaigns",3,"5 years",5735,"disagree-key","preventative"
6,"employment","truthJudge","wrote a poem","male",NA,"","Eric","writes poems",3,"year",2332,"disagree-key","baseline"
6,"food","truthJudge","ate peanut butter","female",NA,"","Stephanie","eats peanut butter",3,"year",3135,"disagree-key","baseline"
6,"food","truthJudge","drank beer","male",NA,"Yesterday, Jacob gave up alcohol and entered into Alcoholics Anonymous.","Jacob","drinks beer",3,"month",2260,"disagree-key","preventative"
6,"employment","truthJudge","stole chewing gum","female",NA,"","Hillary","steals chewing gum",3,"5 years",4217,"disagree-key","baseline"
6,"employment","truthJudge","stole a car","male",NA,"Yesterday, Daniel got caught and went through a radical transformation, vowing to never break the law again.","Daniel","steals cars",3,"5 years",3993,"agree-key","preventative"
6,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Lucas wanted to get high and bought some marijuana.","Lucas","smokes marijuana",3,"year",2085,"agree-key","enabling"
7,"food","truthJudge","drank coffee","male",NA,"Yesterday, Anthony developed a caffeine allergy and decided to give up all caffeine.","Anthony","drinks coffee",3,"month",10000,"agree-key","preventative"
7,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Josh grew disillusioned with the political system and wants nothing to do with it anymore.","Josh","volunteers for political campaigns",3,"5 years",3933,"agree-key","preventative"
7,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"","Greg","volunteers for soup kitchens",3,"5 years",5661,"agree-key","baseline"
7,"clothing","truthJudge","wore a suit","male",NA,"","Fred","wears a suit",3,"month",2734,"agree-key","baseline"
7,"hobby","truthJudge","ran","female",NA,"Yesterday, Tina remembered how much fun those times were and bought a new pair of running shoes.","Tina","runs",3,"2 months",2792,"agree-key","enabling"
7,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Stephanie became fed up with the poetry world and decided to never write poems again.","Stephanie","writes poems",3,"year",10595,"agree-key","preventative"
7,"hobby","truthJudge","hiked","female",NA,"Yesterday, Theresa remembered how much fun those times were and bought a lot of new hiking gear.","Theresa","hikes",3,"year",4816,"agree-key","enabling"
7,"food","truthJudge","ate peanut butter","male",NA,"","Ted","eats peanut butter",3,"year",4002,"agree-key","baseline"
7,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Ben finished an MFA program and quit his other job to focus on writing novels.","Ben","writes novels",3,"5 years",5895,"agree-key","enabling"
7,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Stephen got caught and vowed to never break the law again.","Stephen","steals chewing gum",3,"5 years",5085,"agree-key","preventative"
7,"food","truthJudge","drank beer","male",NA,"Yesterday, Jacob wanted to get tipsy and bought a six-pack of beer.","Jacob","drinks beer",3,"month",4517,"agree-key","enabling"
7,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Shannon learned about all the corruption in professional sports and no longer can watch it.","Shannon","watches professional football",3,"year",2648,"agree-key","preventative"
7,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, Martin remembered how much fun that was bought a lot of new mountain climbing gear.","Martin","climbs mountains",3,"5 years",3108,"agree-key","enabling"
7,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Ashley developed crippling arthritis in her hands and no longer can play musical instruments.","Ashley","plays the banjo",3,"year",2708,"agree-key","preventative"
7,"employment","truthJudge","stole a car","female",NA,"Yesterday, Brooke learned a new technique for breaking into cars.","Brooke","steals cars",3,"5 years",2612,"agree-key","enabling"
7,"food","truthJudge","smoked cigarettes","male",NA,"","William","smokes cigarettes",3,"month",2699,"agree-key","baseline"
7,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Elizabeth remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Elizabeth","watches space launches",3,"2 years",3336,"agree-key","enabling"
7,"food","truthJudge","did cocaine","male",NA,"Yesterday, Cameron realized he is severely allergic to cocaine and will no longer do it.","Cameron","does cocaine",3,"year",2926,"agree-key","preventative"
7,"food","truthJudge","smoked marijuana","male",NA,"","David","smokes marijuana",3,"year",1678,"agree-key","baseline"
7,"food","truthJudge","ate caviar","female",NA,"","Michelle","eats caviar",3,"5 years",1593,"agree-key","baseline"
7,"hobby","truthJudge","played tennis","female",NA,"","Monica","plays tennis",3,"year",1259,"agree-key","baseline"
8,"food","truthJudge","drank beer","male",NA,"Yesterday, Jacob gave up alcohol and entered into Alcoholics Anonymous.","Jacob","drinks beer",3,"month",8311,"agree-key","preventative"
8,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Jack developed crippling arthritis in his hands and no longer can play musical instruments.","Jack","plays the banjo",3,"year",7746,"disagree-key","preventative"
8,"hobby","truthJudge","climbed mountains","female",NA,"","Hillary","climbs mountains",3,"5 years",4037,"agree-key","baseline"
8,"food","truthJudge","ate peanut butter","male",NA,"","Robert","eats peanut butter",3,"year",2989,"disagree-key","baseline"
8,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Linda researched a new political candidate in the area and is going to volunteer with them.","Linda","volunteers for political campaigns",3,"5 years",5366,"agree-key","enabling"
8,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Ben wanted a smoke and bought a pack of cigarettes.","Ben","smokes cigarettes",3,"month",4269,"agree-key","enabling"
8,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Brooke remembered how much enjoyable that was and upgraded her cable to have access to all professional football games.","Brooke","watches professional football",3,"year",5661,"agree-key","enabling"
8,"entertainment","truthJudge","watched space launches","male",NA,"","Gabriel","watches space launches",3,"2 years",7901,"agree-key","baseline"
8,"food","truthJudge","did cocaine","female",NA,"Yesterday, Veronica wanted to get high and bought some cocaine.","Veronica","does cocaine",3,"year",3082,"agree-key","enabling"
