"workerid","category","trial_type","trial_num","past_interval","extra_sentence","gender","character","past_freq","item","rt","response","condition"
1,"employment","predictive",3,"5 years","Yesterday, Stephen researched a new soup kitchen in the area and is going to volunteer with them.","male","Stephen",3,"volunteers for soup kitchens",9296,"10","enabling"
1,"food","predictive",4,"year","Yesterday, Stephanie learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","female","Stephanie",3,"eats peanut butter",9294,"20","enabling"
1,"employment","predictive",5,"5 years","Yesterday, Bridgette grew disillusioned with the political system and wants nothing to do with it anymore.","female","Bridgette",3,"volunteers for political campaigns",5833,"0","preventative"
1,"hobby","predictive",6,"2 months","Yesterday, Tim remembered how much fun those times were and bought a new pair of running shoes.","male","Tim",3,"runs",8344,"6","enabling"
1,"employment","predictive",7,"5 years","Yesterday, Sophia got caught and went through a radical transformation, vowing to never break the law again.","female","Sophia",3,"steals cars",4047,"0","preventative"
1,"food","predictive",8,"5 years","Yesterday, Ben developed a seafood allergy.","male","Ben",3,"eats caviar",4801,"0","preventative"
1,"employment","predictive",9,"year","Yesterday, Alexander became fed up with the poetry world and decided to never write poems again.","male","Alexander",3,"writes poems",3843,"0","preventative"
1,"food","predictive",10,"month","","female","Tina",3,"drinks beer",4644,"3","baseline"
1,"hobby","predictive",11,"year","Yesterday, Esther remembered how much fun those times were and bought a lot of new hiking gear.","female","Esther",3,"hikes",5074,"6","enabling"
1,"food","predictive",12,"year","Yesterday, Amber wanted to get high and bought some cocaine.","female","Amber",3,"does cocaine",7085,"20","enabling"
1,"food","predictive",13,"month","","male","George",3,"drinks coffee",3367,"3","baseline"
1,"entertainment","predictive",14,"2 years","Yesterday, Scott remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","male","Scott",3,"watches space launches",6648,"5","enabling"
1,"food","predictive",15,"year","","male","Ted",3,"smokes marijuana",2995,"3","baseline"
1,"food","predictive",16,"month","Yesterday, Stephen wanted a smoke and bought a pack of cigarettes.","male","Stephen",3,"smokes cigarettes",7204,"10","enabling"
1,"entertainment","predictive",17,"year","Yesterday, Laura learned about all the corruption in professional sports and no longer can watch it.","female","Laura",3,"watches professional football",3952,"0","preventative"
1,"clothing","predictive",18,"month","","female","Ashley",3,"wears a suit",3017,"3","baseline"
1,"employment","predictive",19,"5 years","","female","Alicia",3,"steals chewing gum",3909,"3","baseline"
1,"hobby","predictive",20,"5 years","Yesterday, Tom turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","male","Tom",3,"climbs mountains",5602,"0","preventative"
1,"hobby","predictive",21,"year","","female","Melinda",3,"plays tennis",3994,"3","baseline"
2,"hobby","predictive",1,"5 years","Yesterday, Elisa turned 80 and gave up all strenuous physical exercise because her doctor said it would be deadly.","female","Elisa",3,"climbs mountains",33000,"0","preventative"
2,"food","predictive",2,"month","","female","Michelle",3,"smokes cigarettes",5197,"3","baseline"
2,"hobby","predictive",3,"year","Yesterday, Tina developed crippling arthritis in both elbows and can only move her arms extremely slowly.","female","Tina",3,"plays tennis",5379,"0","preventative"
2,"food","predictive",4,"month","","female","Kim",3,"drinks beer",3271,"3","baseline"
2,"food","predictive",5,"month","Yesterday, Kristina wanted a morning jolt and bought a pound of fresh roasted coffee.","female","Kristina",3,"drinks coffee",6460,"4","enabling"
2,"employment","predictive",6,"5 years","Yesterday, Hillary finished an MFA program and quit her other job to focus on writing novels.","female","Hillary",3,"writes novels",6986,"7","enabling"
2,"hobby","predictive",7,"year","","male","Ted",3,"plays the banjo",2569,"3","baseline"
2,"employment","predictive",8,"5 years","","female","Claire",3,"steals chewing gum",2544,"3","baseline"
2,"entertainment","predictive",9,"year","Yesterday, David remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","male","David",3,"watches professional football",10393,"20","enabling"
2,"employment","predictive",10,"year","","male","William",3,"writes poems",1996,"3","baseline"
2,"food","predictive",11,"year","Yesterday, Ashley wanted to get high and bought some cocaine.","female","Ashley",3,"does cocaine",7778,"5","enabling"
2,"food","predictive",12,"5 years","Yesterday, Lewis developed a seafood allergy.","male","Lewis",3,"eats caviar",5169,"1","preventative"
2,"employment","predictive",13,"5 years","Yesterday, Natalie grew disillusioned with the political system and wants nothing to do with it anymore.","female","Natalie",3,"volunteers for political campaigns",4520,"0","preventative"
2,"hobby","predictive",14,"year","","male","Fred",3,"hikes",2151,"3","baseline"
2,"food","predictive",15,"year","Yesterday, Esther learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","female","Esther",3,"eats peanut butter",4439,"6","enabling"
2,"hobby","predictive",16,"2 months","Yesterday, Linda was in a car accident and became permanently paralyzed from the waist down.","female","Linda",3,"runs",4229,"0","preventative"
2,"food","predictive",17,"year","Yesterday, Maya wanted to get high and bought some marijuana.","female","Maya",3,"smokes marijuana",5813,"5","enabling"
2,"entertainment","predictive",18,"2 years","","female","Bridgette",3,"watches space launches",3241,"3","baseline"
2,"employment","predictive",19,"5 years","Yesterday, Doug grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","male","Doug",3,"volunteers for soup kitchens",3993,"0","preventative"
2,"employment","predictive",20,"5 years","Yesterday, Melinda learned a new technique for breaking into cars.","female","Melinda",3,"steals cars",5306,"8","enabling"
2,"clothing","predictive",21,"month","Yesterday, Tom got fired from his job on Wall Street and now works in a pizza parlor.","male","Tom",3,"wears a suit",4969,"0","preventative"
3,"food","predictive",1,"year","Yesterday, Elizabeth realized she is severely allergic to cocaine and will no longer do it.","female","Elizabeth",3,"does cocaine",13132,"0","preventative"
3,"entertainment","predictive",2,"year","Yesterday, John remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","male","John",3,"watches professional football",14645,"25","enabling"
3,"hobby","predictive",3,"year","Yesterday, Stephanie remembered how much fun those times were and bought a lot of new hiking gear.","female","Stephanie",3,"hikes",7307,"15","enabling"
3,"food","predictive",4,"month","Yesterday, Bridgette developed a caffeine allergy and decided to give up all caffeine.","female","Bridgette",3,"drinks coffee",5489,"0","preventative"
3,"employment","predictive",5,"year","Yesterday, Derrick became fed up with the poetry world and decided to never write poems again.","male","Derrick",3,"writes poems",5368,"0","preventative"
3,"employment","predictive",6,"5 years","Yesterday, Robert got caught and went through a radical transformation, vowing to never break the law again.","male","Robert",3,"steals cars",6799,"0","preventative"
3,"hobby","predictive",7,"5 years","","female","Kristina",3,"climbs mountains",5833,"1","baseline"
3,"food","predictive",8,"5 years","","female","Jessica",3,"eats caviar",24324,"2","baseline"
3,"clothing","predictive",9,"month","Yesterday, Maya got a high paying job on Wall Street.","female","Maya",3,"wears a suit",7459,"15","enabling"
3,"hobby","predictive",10,"2 months","","male","Kyle",3,"runs",6096,"2","baseline"
3,"employment","predictive",11,"5 years","Yesterday, Ronald researched a new political candidate in the area and is going to volunteer with them.","male","Ronald",3,"volunteers for political campaigns",7835,"5","enabling"
3,"employment","predictive",12,"5 years","Yesterday, Theresa finished an MFA program and quit her other job to focus on writing novels.","female","Theresa",3,"writes novels",8631,"5","enabling"
3,"hobby","predictive",13,"year","","male","Vince",3,"plays tennis",8326,"3","baseline"
3,"food","predictive",14,"month","","male","Lucas",3,"smokes cigarettes",27903,"5","baseline"
3,"entertainment","predictive",15,"2 years","Yesterday, Veronica remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","female","Veronica",3,"watches space launches",10912,"8","enabling"
3,"food","predictive",16,"month","Yesterday, David gave up alcohol and entered into Alcoholics Anonymous.","male","David",3,"drinks beer",4999,"0","preventative"
3,"employment","predictive",17,"5 years","Yesterday, Sophia grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","female","Sophia",3,"volunteers for soup kitchens",7753,"0","preventative"
3,"hobby","predictive",18,"year","Yesterday, Laura developed crippling arthritis in her hands and no longer can play musical instruments.","female","Laura",3,"plays the banjo",25597,"0","preventative"
3,"food","predictive",19,"year","","female","Esther",3,"smokes marijuana",5126,"5","baseline"
3,"employment","predictive",20,"5 years","Yesterday, Ted learned a new trick to distract shopkeepers.","male","Ted",3,"steals chewing gum",8407,"5","enabling"
3,"food","predictive",21,"year","","male","Gabriel",3,"eats peanut butter",5160,"3","baseline"
4,"food","predictive",1,"year","","male","Ronald",3,"does cocaine",6206,"3","baseline"
4,"food","predictive",2,"month","Yesterday, Kristina wanted a smoke and bought a pack of cigarettes.","female","Kristina",3,"smokes cigarettes",4958,"2","enabling"
4,"hobby","predictive",3,"2 months","Yesterday, Amber remembered how much fun those times were and bought a new pair of running shoes.","female","Amber",3,"runs",2644,"3","enabling"
4,"hobby","predictive",4,"5 years","","female","Rebecca",3,"climbs mountains",7074,"3","baseline"
4,"food","predictive",5,"year","","female","Natalie",3,"smokes marijuana",3192,"3","baseline"
4,"food","predictive",6,"month","Yesterday, Veronica developed a caffeine allergy and decided to give up all caffeine.","female","Veronica",3,"drinks coffee",3776,"3","preventative"
4,"entertainment","predictive",7,"year","Yesterday, Elisa learned about all the corruption in professional sports and no longer can watch it.","female","Elisa",3,"watches professional football",5024,"3","preventative"
4,"employment","predictive",8,"5 years","Yesterday, Michael grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","male","Michael",3,"volunteers for soup kitchens",7650,"0","preventative"
4,"food","predictive",9,"month","Yesterday, Kim gave up alcohol and entered into Alcoholics Anonymous.","female","Kim",3,"drinks beer",5775,"0","preventative"
4,"employment","predictive",10,"5 years","","male","Seth",3,"steals chewing gum",5865,"3","baseline"
4,"clothing","predictive",11,"month","","female","Nicole",3,"wears a suit",3255,"3","baseline"
4,"employment","predictive",12,"5 years","","female","Jackie",3,"writes novels",3814,"3","baseline"
4,"food","predictive",13,"5 years","Yesterday, Janet developed a seafood allergy.","female","Janet",3,"eats caviar",3706,"0","preventative"
4,"hobby","predictive",14,"year","Yesterday, Scott remembered how much fun that was and bought a new tennis racket.","male","Scott",3,"plays tennis",6854,"8","enabling"
4,"food","predictive",15,"year","Yesterday, Tim learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","male","Tim",3,"eats peanut butter",7408,"7","enabling"
4,"employment","predictive",16,"5 years","Yesterday, Julia grew disillusioned with the political system and wants nothing to do with it anymore.","female","Julia",3,"volunteers for political campaigns",4787,"0","preventative"
4,"employment","predictive",17,"year","Yesterday, William finished an MFA program and quit his other job to focus on writing poems.","male","William",3,"writes poems",4120,"0","enabling"
4,"hobby","predictive",18,"year","","male","Stephen",3,"plays the banjo",3207,"3","baseline"
4,"entertainment","predictive",19,"2 years","Yesterday, John went through a radical transformation and now it is against his belief to witness anything relating to space travel.","male","John",3,"watches space launches",4399,"0","preventative"
4,"hobby","predictive",20,"year","Yesterday, Anthony remembered how much fun those times were and bought a lot of new hiking gear.","male","Anthony",3,"hikes",5273,"9","enabling"
4,"employment","predictive",21,"5 years","Yesterday, Doug learned a new technique for breaking into cars.","male","Doug",3,"steals cars",6238,"9","enabling"
5,"employment","predictive",1,"year","","male","Robert",3,"writes poems",3209,"3","baseline"
5,"employment","predictive",2,"5 years","Yesterday, George finished an MFA program and quit his other job to focus on writing novels.","male","George",3,"writes novels",3893,"3","enabling"
5,"employment","predictive",3,"5 years","Yesterday, Bridgette grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","female","Bridgette",3,"volunteers for soup kitchens",1882,"3","preventative"
5,"food","predictive",4,"month","","male","Tom",3,"drinks beer",3482,"3","baseline"
5,"hobby","predictive",5,"2 months","Yesterday, Tina was in a car accident and became permanently paralyzed from the waist down.","female","Tina",3,"runs",6754,"0","preventative"
5,"hobby","predictive",6,"year","Yesterday, Gabriel remembered how much fun that was and bought a new tennis racket.","male","Gabriel",3,"plays tennis",4135,"3","enabling"
5,"hobby","predictive",7,"year","Yesterday, Greg remembered how much fun those times were and bought a lot of new hiking gear.","male","Greg",3,"hikes",4325,"4","enabling"
5,"employment","predictive",8,"5 years","Yesterday, Elisa learned a new trick to distract shopkeepers.","female","Elisa",3,"steals chewing gum",4016,"5","enabling"
5,"entertainment","predictive",9,"year","Yesterday, Julia learned about all the corruption in professional sports and no longer can watch it.","female","Julia",3,"watches professional football",3335,"0","preventative"
5,"food","predictive",10,"month","Yesterday, Fred quit smoking cigarettes.","male","Fred",3,"smokes cigarettes",3136,"0","preventative"
5,"hobby","predictive",11,"year","Yesterday, Ben developed crippling arthritis in his hands and no longer can play musical instruments.","male","Ben",3,"plays the banjo",3933,"0","preventative"
5,"entertainment","predictive",12,"2 years","Yesterday, William remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","male","William",3,"watches space launches",6391,"3","enabling"
5,"food","predictive",13,"year","","female","Theresa",3,"does cocaine",2056,"3","baseline"
5,"food","predictive",14,"year","Yesterday, Alicia realized she is severely allergic to marijuana and will no longer smoke it.","female","Alicia",3,"smokes marijuana",3090,"0","preventative"
5,"employment","predictive",15,"5 years","","male","David",3,"steals cars",4608,"2","baseline"
5,"food","predictive",16,"year","","female","Maya",3,"eats peanut butter",4845,"3","baseline"
5,"clothing","predictive",17,"month","","female","Laura",3,"wears a suit",9168,"2","baseline"
5,"employment","predictive",18,"5 years","Yesterday, Amber grew disillusioned with the political system and wants nothing to do with it anymore.","female","Amber",3,"volunteers for political campaigns",4868,"0","preventative"
5,"food","predictive",19,"5 years","Yesterday, Michelle learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","female","Michelle",3,"eats caviar",10633,"5","enabling"
5,"food","predictive",20,"month","","male","Vince",3,"drinks coffee",2797,"3","baseline"
5,"hobby","predictive",21,"5 years","Yesterday, Alexander remembered how much fun that was bought a lot of new mountain climbing gear.","male","Alexander",3,"climbs mountains",3056,"4","enabling"
6,"employment","predictive",1,"year","Yesterday, Sophia finished an MFA program and quit her other job to focus on writing poems.","female","Sophia",3,"writes poems",22049,"100","enabling"
6,"hobby","predictive",2,"year","","male","Stephen",3,"plays the banjo",7213,"3","baseline"
6,"employment","predictive",3,"5 years","","female","Hillary",3,"steals cars",7532,"4","baseline"
6,"entertainment","predictive",4,"year","Yesterday, Jessica learned about all the corruption in professional sports and no longer can watch it.","female","Jessica",3,"watches professional football",9270,"0","preventative"
6,"food","predictive",5,"month","","male","Tom",3,"smokes cigarettes",6759,"3","baseline"
6,"food","predictive",6,"5 years","Yesterday, Seth developed a seafood allergy.","male","Seth",3,"eats caviar",6072,"0","preventative"
6,"food","predictive",7,"year","","male","Scott",3,"eats peanut butter",5270,"3","baseline"
6,"clothing","predictive",8,"month","Yesterday, Julia got a high paying job on Wall Street.","female","Julia",3,"wears a suit",10697,"21","enabling"
6,"hobby","predictive",9,"year","Yesterday, Doug remembered how much fun those times were and bought a lot of new hiking gear.","male","Doug",3,"hikes",10195,"6","enabling"
6,"hobby","predictive",10,"5 years","Yesterday, Lee turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","male","Lee",3,"climbs mountains",13241,"0","preventative"
6,"employment","predictive",11,"5 years","Yesterday, Daniel got caught and vowed to never break the law again.","male","Daniel",3,"steals chewing gum",5158,"0","preventative"
6,"hobby","predictive",12,"year","Yesterday, Josh developed crippling arthritis in both elbows and can only move his arms extremely slowly.","male","Josh",3,"plays tennis",5920,"0","preventative"
6,"food","predictive",13,"month","Yesterday, Alexander gave up alcohol and entered into Alcoholics Anonymous.","male","Alexander",3,"drinks beer",5808,"0","preventative"
6,"food","predictive",14,"year","Yesterday, Robert wanted to get high and bought some marijuana.","male","Robert",3,"smokes marijuana",7422,"4","enabling"
6,"entertainment","predictive",15,"2 years","","female","Theresa",3,"watches space launches",8316,"3","baseline"
6,"employment","predictive",16,"5 years","Yesterday, Monica grew disillusioned with the political system and wants nothing to do with it anymore.","female","Monica",3,"volunteers for political campaigns",6486,"0","preventative"
6,"employment","predictive",17,"5 years","Yesterday, Lewis finished an MFA program and quit his other job to focus on writing novels.","male","Lewis",3,"writes novels",10660,"6","enabling"
6,"food","predictive",18,"year","Yesterday, Stephen wanted to get high and bought some cocaine.","male","Stephen",3,"does cocaine",5930,"3","enabling"
6,"hobby","predictive",19,"2 months","","male","Cameron",3,"runs",6203,"3","baseline"
6,"food","predictive",20,"month","Yesterday, Tina wanted a morning jolt and bought a pound of fresh roasted coffee.","female","Tina",3,"drinks coffee",24215,"20","enabling"
6,"employment","predictive",21,"5 years","","female","Melinda",3,"volunteers for soup kitchens",5121,"3","baseline"
7,"food","predictive",1,"month","","female","Kristina",3,"drinks coffee",5928,"3","baseline"
7,"employment","predictive",2,"5 years","","male","Tom",3,"volunteers for soup kitchens",5621,"3","baseline"
7,"food","predictive",3,"month","Yesterday, Ronald quit smoking cigarettes.","male","Ronald",3,"smokes cigarettes",3694,"4","preventative"
7,"entertainment","predictive",4,"year","Yesterday, Kyle learned about all the corruption in professional sports and no longer can watch it.","male","Kyle",3,"watches professional football",45087,"3","preventative"
7,"food","predictive",5,"5 years","Yesterday, William learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","male","William",3,"eats caviar",2192,"3","enabling"
7,"food","predictive",6,"year","Yesterday, Angela wanted to get high and bought some cocaine.","female","Angela",3,"does cocaine",2613,"5","enabling"
7,"hobby","predictive",7,"5 years","Yesterday, Jack turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","male","Jack",3,"climbs mountains",7542,"3","preventative"
7,"employment","predictive",8,"year","Yesterday, Eric finished an MFA program and quit his other job to focus on writing poems.","male","Eric",3,"writes poems",9819,"3","enabling"
7,"hobby","predictive",9,"year","","male","Ted",3,"plays tennis",2137,"3","baseline"
7,"clothing","predictive",10,"month","Yesterday, Linda got a high paying job on Wall Street.","female","Linda",3,"wears a suit",4051,"3","enabling"
7,"entertainment","predictive",11,"2 years","Yesterday, Kathleen went through a radical transformation and now it is against her belief to witness anything relating to space travel.","female","Kathleen",3,"watches space launches",4224,"3","preventative"
7,"food","predictive",12,"month","","male","Stephen",3,"drinks beer",2743,"4","baseline"
7,"hobby","predictive",13,"year","Yesterday, Crystal remembered how much fun those times were and bought a lot of new hiking gear.","female","Crystal",3,"hikes",3000,"3","enabling"
7,"hobby","predictive",14,"year","Yesterday, Monica developed crippling arthritis in her hands and no longer can play musical instruments.","female","Monica",3,"plays the banjo",35248,"0","preventative"
7,"employment","predictive",15,"5 years","Yesterday, George grew disillusioned with the political system and wants nothing to do with it anymore.","male","George",3,"volunteers for political campaigns",4237,"1","preventative"
7,"employment","predictive",16,"5 years","","male","Lee",3,"steals cars",4267,"3","baseline"
7,"hobby","predictive",17,"2 months","Yesterday, Kim was in a car accident and became permanently paralyzed from the waist down.","female","Kim",3,"runs",9546,"0","preventative"
7,"employment","predictive",18,"5 years","Yesterday, Elizabeth finished an MFA program and quit her other job to focus on writing novels.","female","Elizabeth",3,"writes novels",230075,"7","enabling"
7,"food","predictive",19,"year","","male","Doug",3,"smokes marijuana",3648,"4","baseline"
7,"food","predictive",20,"year","Yesterday, Kelly learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","female","Kelly",3,"eats peanut butter",4813,"5","enabling"
7,"employment","predictive",21,"5 years","","male","Cameron",3,"steals chewing gum",2484,"3","baseline"
8,"entertainment","predictive",1,"2 years","","female","Natalie",3,"watches space launches",7497,"3","baseline"
8,"employment","predictive",2,"5 years","Yesterday, Daniel got caught and went through a radical transformation, vowing to never break the law again.","male","Daniel",3,"steals cars",6058,"0","preventative"
8,"food","predictive",3,"month","","male","Gabriel",3,"drinks beer",4036,"3","baseline"
8,"food","predictive",4,"year","Yesterday, Monica wanted to get high and bought some marijuana.","female","Monica",3,"smokes marijuana",5465,"3","enabling"
8,"hobby","predictive",5,"year","","male","George",3,"plays tennis",2948,"3","baseline"
8,"employment","predictive",6,"5 years","","female","Kelly",3,"volunteers for political campaigns",2706,"3","baseline"
8,"food","predictive",7,"5 years","Yesterday, William learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","male","William",3,"eats caviar",6033,"5","enabling"
8,"food","predictive",8,"year","Yesterday, Amber realized she is severely allergic to cocaine and will no longer do it.","female","Amber",3,"does cocaine",5933,"0","preventative"
8,"employment","predictive",9,"5 years","Yesterday, Stephen learned a new trick to distract shopkeepers.","male","Stephen",3,"steals chewing gum",6156,"5","enabling"
8,"hobby","predictive",10,"5 years","Yesterday, Martin remembered how much fun that was bought a lot of new mountain climbing gear.","male","Martin",3,"climbs mountains",3985,"5","enabling"
8,"employment","predictive",11,"5 years","","male","Ronald",3,"volunteers for soup kitchens",2777,"3","baseline"
8,"hobby","predictive",12,"year","Yesterday, Shannon developed crippling arthritis in her hands and no longer can play musical instruments.","female","Shannon",3,"plays the banjo",4235,"0","preventative"
8,"hobby","predictive",13,"year","Yesterday, Jessica was in a motorcycle accident and will never walk again.","female","Jessica",3,"hikes",4572,"0","preventative"
8,"food","predictive",14,"month","","male","Brian",3,"smokes cigarettes",3389,"3","baseline"
8,"food","predictive",15,"year","Yesterday, Esther learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","female","Esther",3,"eats peanut butter",4086,"5","enabling"
8,"entertainment","predictive",16,"year","Yesterday, Michelle learned about all the corruption in professional sports and no longer can watch it.","female","Michelle",3,"watches professional football",3618,"0","preventative"
8,"hobby","predictive",17,"2 months","Yesterday, Lee was in a car accident and became permanently paralyzed from the waist down.","male","Lee",3,"runs",3938,"0","preventative"
8,"clothing","predictive",18,"month","Yesterday, Kristina got fired from her job on Wall Street and now works in a pizza parlor.","female","Kristina",3,"wears a suit",4669,"0","preventative"
8,"food","predictive",19,"month","Yesterday, Jacob wanted a morning jolt and bought a pound of fresh roasted coffee.","male","Jacob",3,"drinks coffee",5160,"3","enabling"
8,"employment","predictive",20,"5 years","","male","Derrick",3,"writes novels",2556,"3","baseline"
8,"employment","predictive",21,"year","Yesterday, Linda finished an MFA program and quit her other job to focus on writing poems.","female","Linda",3,"writes poems",5296,"5","enabling"
9,"employment","predictive",1,"5 years","Yesterday, John grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","male","John",3,"volunteers for soup kitchens",10491,"0","preventative"
9,"food","predictive",2,"year","Yesterday, Sophia learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","female","Sophia",3,"eats peanut butter",9664,"20","enabling"
9,"food","predictive",3,"month","Yesterday, Kyle wanted to get tipsy and bought a six-pack of beer.","male","Kyle",3,"drinks beer",5613,"3","enabling"
9,"hobby","predictive",4,"year","","female","Angela",3,"hikes",3326,"3","baseline"
9,"entertainment","predictive",5,"2 years","","male","Seth",3,"watches space launches",4198,"3","baseline"
9,"entertainment","predictive",6,"year","Yesterday, Gabriel learned about all the corruption in professional sports and no longer can watch it.","male","Gabriel",3,"watches professional football",3656,"1","preventative"
9,"food","predictive",7,"5 years","Yesterday, Kristina developed a seafood allergy.","female","Kristina",3,"eats caviar",2900,"0","preventative"
9,"food","predictive",8,"year","","male","Ted",3,"smokes marijuana",3126,"3","baseline"
9,"food","predictive",9,"month","","male","Jacob",3,"smokes cigarettes",3170,"5","baseline"
9,"employment","predictive",10,"5 years","","male","Robert",3,"writes novels",2746,"3","baseline"
9,"hobby","predictive",11,"2 months","Yesterday, Bridgette remembered how much fun those times were and bought a new pair of running shoes.","female","Bridgette",3,"runs",6344,"5","enabling"
9,"employment","predictive",12,"5 years","Yesterday, Vince researched a new political candidate in the area and is going to volunteer with them.","male","Vince",3,"volunteers for political campaigns",4887,"3","enabling"
9,"hobby","predictive",13,"year","Yesterday, David developed crippling arthritis in both elbows and can only move his arms extremely slowly.","male","David",3,"plays tennis",3220,"0","preventative"
9,"food","predictive",14,"year","","male","Jack",3,"does cocaine",4412,"15","baseline"
9,"employment","predictive",15,"5 years","Yesterday, Veronica got caught and vowed to never break the law again.","female","Veronica",3,"steals chewing gum",3195,"0","preventative"
9,"food","predictive",16,"month","Yesterday, Anthony developed a caffeine allergy and decided to give up all caffeine.","male","Anthony",3,"drinks coffee",2735,"1","preventative"
9,"clothing","predictive",17,"month","Yesterday, Tina got a high paying job on Wall Street.","female","Tina",3,"wears a suit",3859,"20","enabling"
9,"hobby","predictive",18,"5 years","","female","Nicole",3,"climbs mountains",7862,"3","baseline"
9,"employment","predictive",19,"year","Yesterday, Eric became fed up with the poetry world and decided to never write poems again.","male","Eric",3,"writes poems",3383,"0","preventative"
9,"hobby","predictive",20,"year","Yesterday, Ashley remembered how much fun that was and joined her friend&quotechars band as the banjoist.","female","Ashley",3,"plays the banjo",3558,"5","enabling"
9,"employment","predictive",21,"5 years","Yesterday, William learned a new technique for breaking into cars.","male","William",3,"steals cars",5540,"5","enabling"
10,"hobby","predictive",1,"2 months","","male","Cameron",3,"runs",7424,"3","baseline"
10,"employment","predictive",2,"year","Yesterday, Ronald finished an MFA program and quit his other job to focus on writing poems.","male","Ronald",3,"writes poems",6775,"5","enabling"
10,"employment","predictive",3,"5 years","","female","Kathleen",3,"writes novels",4264,"3","baseline"
