"workerid","city","region_code","region_name","language","enjoyment","gender","age","problems","time_zone","comments","metro_code","country_name","asses","fairprice","longitude","country_code","ip","latitude","education","zip_code"
25,"Carrollton","GA","Georgia","english",2,"Female",30,"no","America/New_York","none",524,"United States","Yes","10 cents per minute",-85.134,"US","72.152.74.107",33.5756,2,30117
26,"Blytheville","AR","Arkansas","english",2,"Female",33,"","America/Chicago","",640,"United States","Yes","1.25",-89.9046,"US","216.163.6.7",35.8711,2,72315
27,"Grand Junction","CO","Colorado","English",1,"Female",31,"no","America/Denver","",773,"United States","Yes","1",-108.5377,"US","72.175.154.13",39.07,2,81501
28,NA,NA,NA,"english",2,"Female",32,"no",NA,"thanks!",NA,NA,"Yes","yes",NA,NA,NA,NA,3,NA
29,"","","","English",1,"Male",26,"No","","",0,"United States","Yes","1.25",-97.822,"US","2600:8806:a106:1200:34cb:a5ed:e3a7:edfc",37.751,2,NA
30,NA,NA,NA,"English",2,"Male",32,"No",NA,"",NA,NA,"Yes","Yes",NA,NA,NA,NA,3,NA
31,"Delhi","DL","National Capital Territory of Delhi","Hindi",2,"Female",28,"None","Asia/Kolkata","Interesting",0,"India","Yes","1",77.2167,"IN","106.208.0.76",28.6667,3,NA
32,"Long Valley","NJ","New Jersey","english",2,"Female",53,"no","America/New_York","",501,"United States","Yes","1.00",-74.806,"US","69.142.163.135",40.7843,2,7853
33,"Miami","FL","Florida","English, Spanish",2,"Female",25,"no","America/New_York","",528,"United States","Yes","The price was fair",-80.2401,"US","2602:306:cf3f:12f0:5d5b:8a2e:737a:191d",25.8124,2,33142
34,"Sugarcreek","OH","Ohio","english",1,"Female",42,"no","America/New_York","",510,"United States","Yes","1.00",-81.6751,"US","209.51.162.31",40.4855,3,44681
35,"Brandon","FL","Florida","English",1,"Female",29,"No","America/New_York","",539,"United States","Yes","Yes",-82.3024,"US","72.187.57.197",27.9003,3,33511
36,"Fremont","CA","California","English",2,"Male",25,"No","America/Los_Angeles","",807,"United States","Yes","2",-121.9829,"US","2602:306:3154:1200:5cc4:5fb6:d0c3:2d6",37.567,3,94536
37,"Herndon","VA","Virginia","English",2,"Female",63,"No.","America/New_York","Thanks!!",511,"United States","Yes","Yes",-77.2888,"US","104.129.194.56",38.8318,3,20192
38,"Indianapolis","IN","Indiana","English",1,"Male",31,"none","America/Indiana/Indianapolis","",527,"United States","Yes","At least $2 would be better.",-86.2854,"US","2601:807:8101:5660:5047:6830:4fa9:c871",39.793,3,46214
39,"Detroit","MI","Michigan","English",2,"Female",40,"no","America/Detroit","no",505,"United States","Yes","1.25",-83.1437,"US","2601:406:4080:2aa:8c2d:651a:5a17:3c32",42.4279,2,48221
40,"Canton","MI","Michigan","English",1,"Male",50,"No","America/Detroit","",505,"United States","Yes","2.50",-83.4877,"US","2601:402:4402:6930:a868:87d8:9f9e:9684",42.3291,4,48187
41,NA,NA,NA,"english",2,"Male",43,"no",NA,"",NA,NA,"Yes","1.25",NA,NA,NA,NA,4,NA
42,"Decatur","IL","Illinois","English",1,"Male",42,"no","America/Chicago","",648,"United States","Yes","1.25",-88.9442,"US","98.214.215.40",39.8296,1,62521
43,"Charleston","SC","South Carolina","english",1,"Male",32,"no","America/New_York","",519,"United States","Yes","2.00",-79.9969,"US","76.73.248.43",32.801,3,29407
44,"New York","NY","New York","english",1,"Male",46,"no problems","America/New_York","no comments",501,"United States","Yes","1.25",-74.006,"US","64.9.249.1",40.7143,3,10118
45,"Marion","NC","North Carolina","English",1,"Female",45,"none","America/New_York","",567,"United States","Yes","1.25",-82.0548,"US","97.90.220.160",35.7387,3,28752
46,NA,NA,NA,"English",1,"Male",34,"none",NA,"",NA,NA,"Yes","1.5",NA,NA,NA,NA,3,NA
47,"Slidell","LA","Louisiana","english",2,"Female",39,"no","America/Chicago","",622,"United States","Yes","1.5",-89.7705,"US","68.114.108.36",30.2712,2,70458
48,"El Cajon","CA","California","Italian",2,"Male",38,"It went everything smooth","America/Los_Angeles","I didn&quotechart write the full names but just the first 2 or 3 letters of my family/friends names",825,"United States","Yes","1.25",-116.8797,"US","2600:8801:8600:9300:2461:8953:35a1:1cc8",32.8405,2,92021
49,NA,NA,NA,"English",1,"Male",40,"No",NA,"",NA,NA,"Yes","3.5",NA,NA,NA,NA,1,NA
